/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/bin/java -agentlib:jdwp=transport=dt_socket,address=127.0.0.1:52049,suspend=y,server=n -Dvisualvm.id=83212002219288 -ea -Dvisualvm.id=83209855055819 -Didea.junit.sm_runner -Dfile.encoding=UTF-8 -classpath "/Applications/IntelliJ IDEA.app/Contents/lib/idea_rt.jar:/Applications/IntelliJ IDEA.app/Contents/plugins/junit/lib/junit-rt.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/lib/ant-javafx.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/lib/dt.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/lib/javafx-mx.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/lib/jconsole.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/lib/packager.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/lib/sa-jdi.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/lib/tools.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/charsets.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/deploy.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/javaws.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/jce.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/jfr.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/jfxswt.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/jsse.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/management-agent.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/plugin.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/resources.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/rt.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/cldrdata.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/dnsns.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/jfxrt.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/localedata.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/nashorn.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/sunec.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/sunjce_provider.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/sunpkcs11.jar:/Library/Java/JavaVirtualMachines/jdk1.8.0_45.jdk/Contents/Home/jre/lib/ext/zipfs.jar:/Users/alex/GitHub/polygon-contains-point/target/test-classes:/Users/alex/GitHub/polygon-contains-point/target/classes:/Users/alex/.m2/repository/org/apache/commons/commons-lang3/3.3.2/commons-lang3-3.3.2.jar:/Users/alex/.m2/repository/commons-beanutils/commons-beanutils/1.9.2/commons-beanutils-1.9.2.jar:/Users/alex/.m2/repository/commons-logging/commons-logging/1.1.1/commons-logging-1.1.1.jar:/Users/alex/.m2/repository/commons-collections/commons-collections/3.2.1/commons-collections-3.2.1.jar:/Users/alex/.m2/repository/commons-io/commons-io/2.4/commons-io-2.4.jar:/Users/alex/.m2/repository/org/apache/commons/commons-compress/1.13/commons-compress-1.13.jar:/Users/alex/.m2/repository/com/google/guava/guava/21.0/guava-21.0.jar:/Users/alex/.m2/repository/com/google/code/gson/gson/2.2.2/gson-2.2.2.jar:/Users/alex/.m2/repository/net/sf/json-lib/json-lib/2.4/json-lib-2.4-jdk15.jar:/Users/alex/.m2/repository/commons-lang/commons-lang/2.5/commons-lang-2.5.jar:/Users/alex/.m2/repository/net/sf/ezmorph/ezmorph/1.0.6/ezmorph-1.0.6.jar:/Users/alex/.m2/repository/com/alibaba/fastjson/1.2.15/fastjson-1.2.15.jar:/Users/alex/.m2/repository/com/fasterxml/jackson/dataformat/jackson-dataformat-xml/2.4.3/jackson-dataformat-xml-2.4.3.jar:/Users/alex/.m2/repository/com/fasterxml/jackson/core/jackson-core/2.4.3/jackson-core-2.4.3.jar:/Users/alex/.m2/repository/com/fasterxml/jackson/core/jackson-annotations/2.4.0/jackson-annotations-2.4.0.jar:/Users/alex/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.4.3/jackson-databind-2.4.3.jar:/Users/alex/.m2/repository/com/fasterxml/jackson/module/jackson-module-jaxb-annotations/2.4.3/jackson-module-jaxb-annotations-2.4.3.jar:/Users/alex/.m2/repository/org/codehaus/woodstox/stax2-api/3.1.4/stax2-api-3.1.4.jar:/Users/alex/.m2/repository/org/apache/logging/log4j/log4j-slf4j-impl/2.3/log4j-slf4j-impl-2.3.jar:/Users/alex/.m2/repository/org/slf4j/slf4j-api/1.7.12/slf4j-api-1.7.12.jar:/Users/alex/.m2/repository/org/apache/logging/log4j/log4j-api/2.3/log4j-api-2.3.jar:/Users/alex/.m2/repository/org/apache/logging/log4j/log4j-core/2.3/log4j-core-2.3.jar:/Users/alex/.m2/repository/junit/junit/4.12/junit-4.12.jar:/Users/alex/.m2/repository/org/hamcrest/hamcrest-core/1.3/hamcrest-core-1.3.jar" com.intellij.rt.execution.junit.JUnitStarter -ideVersion5 com.logibeat.commons.geography.GeoUtilsPerfTest
Connected to the target VM, address: '127.0.0.1:52049', transport: 'socket'
2017-02-28 14:00:11 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 415259ms, {policy='JDK'}, level=2, [1488261120769-1488261536028]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 405990ms, {policy='JDK'}, level=2, [1488261120769-1488261526759]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 417579ms, {policy='JDK'}, level=2, [1488261120769-1488261538348]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 410866ms, {policy='JDK'}, level=2, [1488261120770-1488261531636]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 403627ms, {policy='JDK'}, level=2, [1488261120771-1488261524398]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 418734ms, {policy='JDK'}, level=2, [1488261120771-1488261539505]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 410617ms, {policy='JDK'}, level=2, [1488261120772-1488261531389]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 410825ms, {policy='JDK'}, level=2, [1488261120773-1488261531598]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 408929ms, {policy='JDK'}, level=2, [1488261120773-1488261529702]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 399327ms, {policy='JDK'}, level=2, [1488261120774-1488261520101]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 411955ms, {policy='JDK'}, level=2, [1488261120776-1488261532731]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 404956ms, {policy='JDK'}, level=2, [1488261120776-1488261525732]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 417464ms, {policy='JDK'}, level=2, [1488261120777-1488261538241]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 407883ms, {policy='JDK'}, level=2, [1488261120778-1488261528661]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 413782ms, {policy='JDK'}, level=2, [1488261120779-1488261534561]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 414802ms, {policy='JDK'}, level=2, [1488261120782-1488261535584]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 419140ms, {policy='JDK'}, level=2, [1488261120783-1488261539923]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 417743ms, {policy='JDK'}, level=2, [1488261120785-1488261538528]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 406368ms, {policy='JDK'}, level=2, [1488261120785-1488261527153]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 403996ms, {policy='JDK'}, level=2, [1488261120786-1488261524782]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 416855ms, {policy='JDK'}, level=2, [1488261120786-1488261537641]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 401218ms, {policy='JDK'}, level=2, [1488261120788-1488261522006]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 390800ms, {policy='JDK'}, level=2, [1488261120788-1488261511588]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 409032ms, {policy='JDK'}, level=2, [1488261120789-1488261529821]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 407151ms, {policy='JDK'}, level=2, [1488261120790-1488261527941]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 420627ms, {policy='JDK'}, level=2, [1488261120791-1488261541418]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 411262ms, {policy='JDK'}, level=2, [1488261120792-1488261532054]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 415540ms, {policy='JDK'}, level=2, [1488261120792-1488261536332]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 412627ms, {policy='JDK'}, level=2, [1488261120793-1488261533420]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 428469ms, {policy='JDK'}, level=2, [1488261120794-1488261549263]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 416733ms, {policy='JDK'}, level=2, [1488261120796-1488261537529]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 390980ms, {policy='JDK'}, level=2, [1488261120797-1488261511777]
2017-02-28 14:00:12 [main] INFO  com.logibeat.commons.geography.GeoUtilsPerfTest.tearDownClass(35) - 402574ms, {policy='JDK'}, level=2, [1488261120798-1488261523372]
